Centroid X,Centroid Y,Transitions,Aspect Ratio
614,203,49,7.975
1060,205,118,12.525
594,232,24,3.9875
978,254,154,6.2625
1779,130,18,2.795620437956204
1841,101,152,2.291970802919708
1729,177,95,4.848101265822785
1793,142,18,3.9746835443037973
2349,178,68,2.1139896373056994
2896,189,23,2.150259067357513
2313,203,56,17.73913043478261
2875,204,35,18.043478260869566
1599,255,0,4.555555555555555
1646,236,78,10.933333333333334
1559,284,75,4.659090909090909
1623,279,33,11.181818181818182
2263,240,113,9.042553191489361
2818,239,71,8.46808510638298
2208,284,101,10.119047619047619
2795,284,102,9.476190476190476
209,313,80,20.625
425,313,59,23.125
239,327,108,3.4375
420,331,158,3.8541666666666665
938,334,106,6.178571428571429
1399,358,0,6.392857142857143
913,388,50,6.178571428571429
1352,390,86,6.392857142857143
617,563,24,3.808383233532934
667,515,64,0.38323353293413176
604,618,63,9.636363636363637
669,616,78,0.9696969696969697
774,465,110,2.0694444444444446
1027,436,117,7.708333333333333
770,542,206,0.9254658385093167
1126,569,0,3.4472049689440993
1522,332,130,5.647058823529412
1906,352,0,7.647058823529412
1568,368,80,12.0
1882,370,87,16.25
2160,329,74,8.0
2678,331,78,9.541666666666666
2204,367,81,14.222222222222221
2628,367,171,16.962962962962962
1597,391,84,13.217391304347826
1872,390,235,16.26086956521739
1544,417,254,1.2307692307692308
1833,413,189,1.51417004048583
2255,388,77,19.058823529411764
2608,388,141,30.470588235294116
2244,404,281,1.2806324110671936
2558,413,230,2.047430830039526
412,80,59,4.688172043010753
497,55,119,2.3978494623655915
336,128,116,6.318840579710145
476,125,73,3.2318840579710146
847,56,0,3.336283185840708
1139,80,184,1.9469026548672566
832,141,57,7.6938775510204085
1103,135,90,4.489795918367347
275,200,108,5.8
504,195,74,4.338461538461538
233,250,200,7.54
615,251,46,5.64
686,180,34,6.837837837837838
1022,181,95,9.297297297297296
713,220,24,3.2435897435897436
952,229,106,4.410256410256411
1652,67,172,4.318181818181818
2073,93,47,3.2636363636363637
1560,144,96,6.785714285714286
2023,144,75,5.128571428571429
2126,45,79,4.49438202247191
2728,51,100,3.258426966292135
2094,92,11,4.395604395604396
2654,142,121,3.1868131868131866
1485,209,77,8.15
1970,215,68,5.75
1439,261,61,13.216216216216216
1957,260,72,9.324324324324325
2353,233,8,6.278688524590164
2577,215,151,5.032786885245901
2259,262,146,10.63888888888889
2595,256,157,8.527777777777779
134,322,118,3.4615384615384617
366,333,112,3.448717948717949
135,377,177,3.0
382,376,288,2.988888888888889
566,309,52,4.436619718309859
954,313,71,5.661971830985915
651,391,51,3.247422680412371
1016,379,173,4.144329896907217
486,669,10,2.0450819672131146
519,625,39,0.16393442622950818
480,720,40,6.3164556962025316
519,743,39,0.5063291139240507
627,529,99,1.168
772,495,228,4.568
605,668,190,0.7373737373737373
711,597,63,2.8838383838383836
1391,284,28,17.714285714285715
1570,284,13,15.928571428571429
1396,297,46,19.076923076923077
1591,297,33,17.153846153846153
1904,283,23,26.916666666666668
2263,282,118,60.833333333333336
1880,295,153,21.533333333333335
2211,295,100,48.666666666666664
1379,315,24,12.1
1613,313,71,11.45
1363,337,195,0.545045045045045
1656,331,151,0.5157657657657657
1779,308,45,16.2
2212,307,78,89.1
1741,326,35,0.3568281938325991
2331,315,16,1.9625550660792952
321,70,88,3.8
438,40,141,2.8105263157894735
242,144,98,4.349397590361446
410,137,94,3.216867469879518
761,103,56,3.4789915966386555
1198,85,222,2.899159663865546
767,152,62,7.016949152542373
1124,145,155,5.8474576271186445
179,212,147,3.5421686746987953
490,219,80,4.024096385542169
171,293,148,5.157894736842105
493,295,81,5.859649122807017
660,201,46,6.25531914893617
1042,203,131,9.893617021276595
852,278,50,3.161290322580645
974,246,122,5.0
1734,128,23,2.637037037037037
1800,95,118,2.5037037037037035
1687,175,86,4.395061728395062
1750,141,22,4.172839506172839
2312,151,150,1.9322033898305084
2903,172,28,2.8135593220338984
2242,196,112,8.76923076923077
2873,196,51,12.76923076923077
1590,250,42,4.105263157894737
1631,229,33,8.070175438596491
1536,295,104,5.2
2068,305,0,10.222222222222221
2182,239,131,6.1063829787234045
2809,239,71,11.76595744680851
2120,285,129,5.218181818181818
2734,291,72,10.054545454545455
183,330,68,14.217391304347826
448,329,85,15.434782608695652
214,350,159,2.680327868852459
415,354,204,2.9098360655737703
929,346,146,5.707692307692308
1363,371,18,5.138461538461539
870,427,97,4.6375
1316,406,137,4.175
558,607,57,3.1847826086956523
636,549,95,0.5217391304347826
531,704,109,6.041237113402062
633,682,96,0.9896907216494846
717,485,74,0.9868421052631579
817,498,88,8.289473684210526
719,603,74,0.36585365853658536
770,553,36,3.073170731707317
1496,342,147,6.956521739130435
2040,341,50,8.08695652173913
1591,379,74,10.666666666666666
1884,380,103,12.4
2133,352,21,8.23076923076923
2697,343,95,7.961538461538462
2276,384,48,17.833333333333332
2629,383,60,17.25
1576,402,140,17.3
1873,403,140,17.3
1448,430,155,1.0484848484848486
1908,424,202,1.0484848484848486
2237,406,75,14.434782608695652
2585,404,191,22.17391304347826
2211,425,276,1.0152905198776758
2602,435,258,1.5596330275229358
349,128,63,2.5510204081632653
432,101,118,1.6054421768707483
289,190,97,4.8076923076923075
409,182,77,3.0256410256410255
724,159,37,2.143712574850299
1087,130,164,1.9401197604790419
738,199,54,6.172413793103448
1042,193,92,5.586206896551724
227,268,109,4.191780821917808
407,257,72,4.178082191780822
134,333,96,4.135135135135135
560,334,64,4.121621621621622
638,250,48,4.927272727272728
979,254,125,7.472727272727273
847,337,29,2.9456521739130435
936,295,129,4.467391304347826
1778,113,13,4.117647058823529
1842,61,117,2.7394957983193278
1722,177,92,4.495412844036697
1788,123,16,2.9908256880733943
2319,131,117,2.0535714285714284
2756,149,66,2.107142857142857
2239,197,64,5.75
